reference_role,inference_role,reference_name,inference_name
REACTANT,REACTANT,"3,7,7-trimethyloctan-1-ol","3,7,7-trimethyloctan-1-ol"
SOLVENT,SOLVENT,potassium hydroxide,potassium hydroxide
REACTANT,REACTANT,isopropanol,isopropanol
REACTANT,REACTANT,sodium cyanoborohydride,sodium cyanoborohydride
REACTANT,REACTANT,"N-((4,6-dimethyl-2-oxo-1,2-dihydropyridin-3-yl)methyl)-5-(6-formylpyridin-3-yl)-2-methyl-3-(methyl(tetrahydro-2H-pyran-4-yl)amino)benzamide","N-((4,6-dimethyl-2-oxo-1,2-dihydropyridin-3-yl)methyl)-5-(6-formylpyridin-3-yl)-2-methyl-3-(methyl(tetrahydro-2H-pyran-4-yl)amino)benzamide"
REACTANT,REACTANT,dimethylamine,dimethylamine
REACTANT,SOLVENT,acetic acid,acetic acid
SOLVENT,SOLVENT,methanol,methanol
REACTANT,REACTANT,"methyl 4-(1,4-dimethyl-1H-pyrazol-5-yl)-5-ethyl-2-thiophenecarboxylate","methyl 4-(1,4-dimethyl-1H-pyrazol-5-yl)-5-ethyl-2-thiophenecarboxylate"
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,Tyr,Tyr
REACTANT,REACTANT,( 1 ),( 1 )
REACTANT,REACTANT,Leu,Leu
REACTANT,REACTANT,( 1 ),( 1 )
REACTANT,REACTANT,( 4 ),4.14
REACTANT,REACTANT,phosphoric acid,phosphoric acid
REACTANT,REACTANT,2(4-fluorophenyl)α-methyl-5-benzoxazole acetic acid,2(4-fluorophenyl)α-methyl-5-benzoxazole acetic acid
REACTANT,REACTANT,4-hydroxy-3-amino-phenylacetic acid,4-hydroxy-3-amino-phenylacetic acid
REACTANT,REACTANT,4-fluorobenzoyl chloride,4-fluorobenzoyl chloride
REACTANT,REACTANT,sodium carbonate,sodium carbonate
REACTANT,REACTANT,[2-hydroxy-3-methyl-1-(3-oxo-propylcarbamoyl)-butyl]-carbamic acid benzyl ester,[2-hydroxy-3-methyl-1-(3-oxo-propylcarbamoyl)-butyl]-carbamic acid benzyl ester
REACTANT,REACTANT,"tert-butyl (2S,3R)-2-amino-3-[(2R,3R,4R,5R)-3,4-bis{[tert-butyl-(dimethyl)silyl]oxy}-5-(3-(4-methoxybenzyl)-2,4-dioxo-3,4-dihydro-1(2H)-pyrimidinyl)-tetrahydro-2-furanyl]-3-hydroxypropanoate","tert-butyl (2S,3R)-2-amino-3-[(2R,3R,4R,5R)-3,4-bis{[tert-butyl-(dimethyl)silyl]oxy}-5-(3-(4-methoxybenzyl)-2,4-dioxo-3,4-dihydro-1(2H)-pyrimidinyl)-tetrahydro-2-furanyl]-3-hydroxypropanoate"
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,CATALYST,sodium triacetoxyborohydride,sodium triacetoxyborohydride
CATALYST,CATALYST,Acetic acid,Acetic acid
REACTANT,REACTANT,"2-cyano-2-(3,4-dichloro-5-oxo-2,5-dihydrofuran-2-yl)acetamide","2-cyano-2-(3,4-dichloro-5-oxo-2,5-dihydrofuran-2-yl)acetamide"
REACTANT,REACTANT,2-(aminomethyl)-N-cyclopropyl-4-fluorobenzenesulfonamide,2-(aminomethyl)-N-cyclopropyl-4-fluorobenzenesulfonamide
REACTANT,REACTANT,potassium carbonate,potassium carbonate
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,benzoyl chloride,benzoyl chloride
REACTANT,SOLVENT,chloroform,chloroform
REACTANT,REACTANT,6-{3-[N-(2-hydroxyethyl)-N-cyclohexylaminocarbonyl]propoxy}carbostyril,6-{3-[N-(2-hydroxyethyl)-N-cyclohexylaminocarbonyl]propoxy}carbostyril
REACTANT,REACTANT,triethylamine,triethylamine
SOLVENT,REACTANT,chloroform methanol,chloroform methanol
REACTANT,REACTANT,"tert-butyl N-[(4aR,11bR)-3,3,11b-trimethyl-10-nitro-4,4-dioxo-5,6-dihydro-4aH-[1]benzothiepino[4,5-b][1,4]thiazin-2-yl]-N-tert-butoxycarbonyl-carbamate","tert-butyl N-[(4aR,11bR)-3,3,11b-trimethyl-10-nitro-4,4-dioxo-5,6-dihydro-4aH-[1]benzothiepino[4,5-b][1,4]thiazin-2-yl]-N-tert-butoxycarbonyl-carbamate"
REACTANT,REACTANT,EtOAc,EtOAc
CATALYST,CATALYST,Pd/C,Pd/C
SOLVENT,SOLVENT,MeOH,MeOH
REACTANT,REACTANT,diethyl ether,diethyl ether
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,2-(7-Amino-thianthren-1-yl)-6-morpholin-4-yl-pyran-4-one,2-(7-Amino-thianthren-1-yl)-6-morpholin-4-yl-pyran-4-one
REACTANT,REACTANT,tetrafluoroboric acid,tetrafluoroboric acid
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,Butyl nitrite,Butyl nitrite
REACTANT,COMPOUND_MISSING,cupric nitrate,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,cuprous oxide,COMPOUND_MISSING
REACTANT,REACTANT,"tert.butyl 4'-[[2-n-propyl-4-methyl-6-(1-methyl-4,5-diphenyl-imidazol-2-yl)-1H-benzimidazol-1-yl]-methyl]-biphenyl-2-carboxylate","tert.butyl 4'-[[2-n-propyl-4-methyl-6-(1-methyl-4,5-diphenyl-imidazol-2-yl)-1H-benzimidazol-1-yl]-methyl]-biphenyl-2-carboxylate"
REACTANT,REACTANT,trifluoroacetic acid,trifluoroacetic acid
REACTANT,REACTANT,Propyl 3-[7-(2-chloro-ethoxy)-6-methoxy-quinolin-4-yloxy]-naphthalene-2-carboxylate,Propyl 3-[7-(2-chloro-ethoxy)-6-methoxy-quinolin-4-yloxy]-naphthalene-2-carboxylate
REACTANT,REACTANT,compound 322,compound 322
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,REACTANT,Potassium carbonate,Potassium carbonate
REACTANT,SOLVENT,morpholine,morpholine
REACTANT,REACTANT,water,water
REACTANT,REACTANT,"5-(2-hydroxy-2-pyridin-4-yl-ethyl)-2-methyl-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indole-8-carboxylic acid methyl ester","5-(2-hydroxy-2-pyridin-4-yl-ethyl)-2-methyl-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indole-8-carboxylic acid methyl ester"
REACTANT,REACTANT,LAH,LAH
SOLVENT,SOLVENT,THF,THF
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,"2-[4-(bromomethyl)phenyl]-4,4,5,5-tetramethyl-1,3,2-dioxaborolane","2-[4-(bromomethyl)phenyl]-4,4,5,5-tetramethyl-1,3,2-dioxaborolane"
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,lithium hexamethyldisilazide,lithium hexamethyldisilazide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,Ethyl (2S)-5-oxopyrrolidine-2-carboxylate,Ethyl (2S)-5-oxopyrrolidine-2-carboxylate
SOLVENT,REACTANT,toluene,toluene
REACTANT,COMPOUND_MISSING,acetic acid,COMPOUND_MISSING
REACTANT,REACTANT,Phosphoryl chloride,Phosphoryl chloride
REACTANT,REACTANT,1-(4-fluorophenyl)pyrrole,1-(4-fluorophenyl)pyrrole
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,REACTANT,potassium carbonate,potassium carbonate
REACTANT,REACTANT,methyl 4-bromo-2-furancarboxylate,methyl 4-bromo-2-furancarboxylate
REACTANT,REACTANT,NCS,NCS
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,REACTANT,"(R)-4-(5-amino-2-fluoro-phenyl)-5,5-difluoro-4-methyl-5,6-dihydro-4H-[1,3]oxazin-2-ylamine","(R)-4-(5-amino-2-fluoro-phenyl)-5,5-difluoro-4-methyl-5,6-dihydro-4H-[1,3]oxazin-2-ylamine"
REACTANT,REACTANT,5-difluoromethoxy-pyridine-2-carboxylic acid,5-difluoromethoxy-pyridine-2-carboxylic acid
REACTANT,REACTANT,"2-chloro-7-amino-1,8-napthyridine","2-chloro-7-amino-1,8-napthyridine"
REACTANT,REACTANT,sodium methoxide,sodium methoxide
SOLVENT,SOLVENT,methyl alcohol,methyl alcohol
REACTANT,REACTANT,methylacrylate,methylacrylate
REACTANT,REACTANT,NaH,NaH
REACTANT,REACTANT,6-(1-[1-[bis(4-fluorophenyl)methyl]-piperazin-4-yl]-2-acetoxy-3-propanylthio]purine,6-(1-[1-[bis(4-fluorophenyl)methyl]-piperazin-4-yl]-2-acetoxy-3-propanylthio]purine
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,2-(3-methylamino-4-nitro-phenyl)-acetamide,2-(3-methylamino-4-nitro-phenyl)-acetamide
SOLVENT,SOLVENT,MeOH EtOAc,MeOH EtOAc
CATALYST,CATALYST,Pd/C,Pd/C
REACTANT,REACTANT,p-toluenesulfonyl chloride,p-toluenesulfonyl chloride
REACTANT,REACTANT,"2-(RS)-(2-hydroxyethyl)-2,3-dihydro-5-benzyloxy-4,6,7 -trimethylbenzofurane","2-(RS)-(2-hydroxyethyl)-2,3-dihydro-5-benzyloxy-4,6,7 -trimethylbenzofurane"
REACTANT,REACTANT,3-Benzyloxy-2-methylpyrid-4-one,3-Benzyloxy-2-methylpyrid-4-one
SOLVENT,SOLVENT,acetone,acetone
REACTANT,REACTANT,Acetylbromide,Acetylbromide
REACTANT,REACTANT,triethylamine,triethylamine
REACTANT,REACTANT,ammonium chloride,ammonium chloride
REACTANT,REACTANT,(3S)-3-Hydroxymethyl-5-oxo-1-[(1R)-1-phenylethyl]pyrrolidine-3-carboxylic acid tert-butyl ester,(3S)-3-Hydroxymethyl-5-oxo-1-[(1R)-1-phenylethyl]pyrrolidine-3-carboxylic acid tert-butyl ester
REACTANT,REACTANT,bromoethyl acetate,bromoethyl acetate
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,Sodium hydride,Sodium hydride
REACTANT,REACTANT,3-iodo-1-((2-(trimethylsilyl)ethoxy)methyl)-1H-indazole-6-carbaldehyde,3-iodo-1-((2-(trimethylsilyl)ethoxy)methyl)-1H-indazole-6-carbaldehyde
REACTANT,REACTANT,styrene,styrene
REACTANT,REACTANT,diisopropylethylamine,diisopropylethylamine
REACTANT,REACTANT,P(o-tol)3,P(o-tol)3
CATALYST,CATALYST,Pd(OAc)2,Pd(OAc)2
SOLVENT,REACTANT,DMF,DMF
REACTANT,REACTANT,(3-Trifluoromethylphenoxy)(4-chlorophenyl)acetyl chloride,(3-Trifluoromethylphenoxy)(4-chlorophenyl)acetyl chloride
REACTANT,REACTANT,sodium,sodium
REACTANT,REACTANT,methanesulfonamide,methanesulfonamide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,"6-methoxy-3,4-dihydrobenzopyran-7-carboxaldehyde","6-methoxy-3,4-dihydrobenzopyran-7-carboxaldehyde"
SOLVENT,SOLVENT,methylene chloride,methylene chloride
REACTANT,REACTANT,boron tribromide,boron tribromide
REACTANT,REACTANT,morpholine,morpholine
REACTANT,REACTANT,"2-methyl-1,3-dithiolium bromide","2-methyl-1,3-dithiolium bromide"
SOLVENT,COMPOUND_MISSING,ethanol,COMPOUND_MISSING
SOLVENT,SOLVENT,dioxane,dioxane
REACTANT,REACTANT,"{1-[4-(9-Bromo-3-phenylpyrimido[1,2-b]indazole-2-yl)phenyl]-cyclobutyl}carbamic acid tert-butyl ester","{1-[4-(9-Bromo-3-phenylpyrimido[1,2-b]indazole-2-yl)phenyl]-cyclobutyl}carbamic acid tert-butyl ester"
REACTANT,REACTANT,(3-cyanophenyl)boronic acid,(3-cyanophenyl)boronic acid
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,sodium carbonate,sodium carbonate
REACTANT,REACTANT,5-bromosalicylaldehyde,5-bromosalicylaldehyde
REACTANT,REACTANT,methanesulfonic acid tetrahydropyran-4-yl ester,methanesulfonic acid tetrahydropyran-4-yl ester
REACTANT,REACTANT,K2CO3,K2CO3
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,REACTANT,2-(5-{4-bromo-3-[(tert-butoxycarbonyl-methyl-amino)-methyl]-phenyl}-1H-imidazol-2-yl)-pyrrolidine-1-carboxylic acid tert-butyl ester,2-(5-{4-bromo-3-[(tert-butoxycarbonyl-methyl-amino)-methyl]-phenyl}-1H-imidazol-2-yl)-pyrrolidine-1-carboxylic acid tert-butyl ester
REACTANT,REACTANT,"2-{5-[3-Methoxycarbonyl-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenyl]-1H-imidazol-2-yl}-pyrrolidine-1-carboxylic acid tert-butyl ester","2-{5-[3-Methoxycarbonyl-4-(4,4,5,5-tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenyl]-1H-imidazol-2-yl}-pyrrolidine-1-carboxylic acid tert-butyl ester"
REACTANT,CATALYST,sodium bicarbonate,sodium bicarbonate
SOLVENT,REACTANT,"1,2-dimethoxyether","1,2-dimethoxyether"
SOLVENT,REACTANT,water,water
SOLVENT,SOLVENT,EtOAc,EtOAc
REACTANT,CATALYST,PdCl2(dppf)CH2Cl2,PdCl2(dppf)CH2Cl2
CATALYST,COMPOUND_MISSING,Pd(PPh3)4,COMPOUND_MISSING
CATALYST,CATALYST,Palladium on carbon,Palladium on carbon
REACTANT,REACTANT,"1-Benzyl-4-phenyl-[1,4]azaphosphinane 4-oxide","1-Benzyl-4-phenyl-[1,4]azaphosphinane 4-oxide"
SOLVENT,SOLVENT,EtOH,EtOH
REACTANT,REACTANT,HCl,HCl
REACTANT,REACTANT,"trans-4-{[4-(methylamino)-6-phenyl-1,3,5-triazin-2-yl]amino}cyclohexanecarboxylic acid","trans-4-{[4-(methylamino)-6-phenyl-1,3,5-triazin-2-yl]amino}cyclohexanecarboxylic acid"
REACTANT,REACTANT,1-[2-(trifluoromethyl)phenyl]methanamine,1-[2-(trifluoromethyl)phenyl]methanamine
REACTANT,REACTANT,EDCl,EDCl
REACTANT,REACTANT,HOBt,HOBt
REACTANT,REACTANT,N-methylmorpholine,N-methylmorpholine
SOLVENT,REACTANT,water,water
REACTANT,REACTANT,1-((4-chlorophenyl)phenylmethyl)piperazine,1-((4-chlorophenyl)phenylmethyl)piperazine
REACTANT,REACTANT,tert-butyl 2-(2-chloroethoxy)acetate,tert-butyl 2-(2-chloroethoxy)acetate
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,CATALYST,tert-butyl-ammonium bromide,tert-butyl-ammonium bromide
SOLVENT,SOLVENT,2-butanone,2-butanone
REACTANT,REACTANT,triethylamine,triethylamine
CATALYST,CATALYST,DMAP,DMAP
REACTANT,REACTANT,pyridine,pyridine
REACTANT,REACTANT,"4,4′-dimethoxytrityl chloride","4,4′-dimethoxytrityl chloride"
REACTANT,REACTANT,Compound ( 2a ),Compound ( 2a )
REACTANT,SOLVENT,pyridine,pyridine
SOLVENT,SOLVENT,MeOH,MeOH
REACTANT,REACTANT,product,product
REACTANT,REACTANT,product,product
REACTANT,REACTANT,"4-(9-cyclobutyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-ylamino)-benzoic acid","4-(9-cyclobutyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-ylamino)-benzoic acid"
REACTANT,REACTANT,triethylamine,triethylamine
REACTANT,REACTANT,"N-[(dimethylamino)(3H-1,2,3-triazolo[4,5-b]pyridin-3-yloxy)methylene]-N-methyl-methanaminium","N-[(dimethylamino)(3H-1,2,3-triazolo[4,5-b]pyridin-3-yloxy)methylene]-N-methyl-methanaminium"
REACTANT,REACTANT,hexafluorophosphate(1-),hexafluorophosphate(1-)
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,4-piperidinyl-carbamic acid 9H-fluoren-9-ylmethyl ester monohydrochloride,4-piperidinyl-carbamic acid 9H-fluoren-9-ylmethyl ester monohydrochloride
REACTANT,REACTANT,sodium borohydride,sodium borohydride
SOLVENT,SOLVENT,EtOAc,EtOAc
SOLVENT,REACTANT,NaOH,NaOH
REACTANT,REACTANT,"2-(2′-chloro-3-methylbiphenyl-4-yl)-3-{4-[2-(2,6-dichloro-4-methylphenoxy)ethoxy]phenyl}propanenitrile","2-(2′-chloro-3-methylbiphenyl-4-yl)-3-{4-[2-(2,6-dichloro-4-methylphenoxy)ethoxy]phenyl}propanenitrile"
REACTANT,REACTANT,cobaltous chloride hexahydrate,cobaltious chloride hexahydrate
SOLVENT,SOLVENT,MeOH THF,MeOH THF
REACTANT,REACTANT,Z-3-(4-benzyloxyphenyl)-2-ethoxyacrylate,Z-3-(4-benzyloxyphenyl)-2-ethoxyacrylate
REACTANT,SOLVENT,tert-butyl methyl ether,tert-butyl methyl ether
CATALYST,SOLVENT,palladium on carbon,butyl methyl ether
REACTANT,REACTANT,iodomethane,iodomethane
CATALYST,CATALYST,palladium/carbon,palladium/carbon
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,"N-methyl-N-(2-propenyl)-2-chloro -5-(3,6-dihydro-3-methyl-4-trifluoromethyl-2,6-dioxo-1(2H)-pyrimidinyl)benzenesulfonamide","N-methyl-N-(2-propenyl)-2-chloro -5-(3,6-dihydro-3-methyl-4-trifluoromethyl-2,6-dioxo-1(2H)-pyrimidinyl)benzenesulfonamide"
REACTANT,REACTANT,Compound #29,Compound #29
REACTANT,REACTANT,hydrogen,hydrogen
REACTANT,COMPOUND_MISSING,Compound #28,COMPOUND_MISSING
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,REACTANT,8-chloro-dibenzothiophene-3-acetic acid ethyl ester,8-chloro-dibenzothiophene-3-acetic acid ethyl ester
SOLVENT,SOLVENT,ethanol,ethanol
SOLVENT,SOLVENT,CH2Cl2,CH2Cl2
REACTANT,REACTANT,NaN3,NaN3
SOLVENT,REACTANT,H2O,H2O
REACTANT,COMPOUND_MISSING,Tf2O,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,( g ),COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,TfN3,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,methyl 2-amino-6-{[(benzyloxy)carbonyl]amino}hexanoate hydrochloride salt,COMPOUND_MISSING
CATALYST,COMPOUND_MISSING,DMAP,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,CH2Cl2,COMPOUND_MISSING
REACTANT,REACTANT,(5-bromobenzofuran-2-yl)(p-chlorophenyl)methanol,(5-bromobenzofuran-2-yl)(p-chlorophenyl)methanol
SOLVENT,SOLVENT,methylenchloride,methylenchloride
REACTANT,REACTANT,thionylchloride,thionylchloride
SOLVENT,SOLVENT,cyclohexane,cyclohexane
REACTANT,REACTANT,3-(Bromomethyl)-5-chlorobenzothiophene,3-(Bromomethyl)-5-chlorobenzothiophene
REACTANT,REACTANT,NaH,NaH
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,2-(9H-Carbazol-4-yloxy)acetonitrile,2-(9H-Carbazol-4-yloxy)acetonitrile
REACTANT,COMPOUND_MISSING,pentane,COMPOUND_MISSING
REACTANT,REACTANT,divinyl-phosphine oxide,divinyl-phosphine oxide
REACTANT,REACTANT,benzylamine,benzylamine
REACTANT,SOLVENT,THF,THF
SOLVENT,SOLVENT,water,water
REACTANT,SOLVENT,benzylamine,benzylamine
SOLVENT,REACTANT,methanol,amberlyst
REACTANT,REACTANT,"5-bromo-3-(2-methoxy-phenyl)-1-triisopropylsilanyl-1H-pyrrolo[2,3-b]pyridine","5-bromo-3-(2-methoxy-phenyl)-1-triisopropylsilanyl-1H-pyrrolo[2,3-b]pyridine"
SOLVENT,SOLVENT,"1,4-dioxane","1,4-dioxane"
SOLVENT,REACTANT,N-methylaniline,N-methylaniline
REACTANT,REACTANT,sodium-tert-butoxide,sodium tert-butoxide
CATALYST,REACTANT,bis(tert-butylphosphino)palladium(0),bis(tert-butylphosphino)palladium(0)
REACTANT,REACTANT,crude material,crude material
REACTANT,REACTANT,solution,solution
REACTANT,REACTANT,tetra-n-butylammonium fluoride,tetra-n-butylammonium fluoride
SOLVENT,SOLVENT,THF,THF
REACTANT,COMPOUND_MISSING,sodium,COMPOUND_MISSING
REACTANT,REACTANT,"2,2,5,5-tetramethyl-hexan-3-one","2,2,5,5-tetramethyl-hexan-3-one"
REACTANT,REACTANT,formamidine acetate,formamidine acetate
SOLVENT,SOLVENT,butanol,butanol
REACTANT,REACTANT,1-(p-[4-methoxybutoxy]-phenoxy)-3-aminopropan-2-ol,1-(p-[4-methoxybutoxy]-phenoxy)-3-aminopropan-2-ol
REACTANT,REACTANT,6-methylnicotinoyl-acetone,6-methylnicotinoyl-acetone
REACTANT,REACTANT,ethanol,ethanol
SOLVENT,SOLVENT,formic acid,formic acid
REACTANT,REACTANT,Tri-t-butylphosphine,Tri-t-butylphosphine
REACTANT,REACTANT,4-bromo-N-ethyl-2 (trifluoromethoxy)benzenesulfonamide,4-bromo-N-ethyl-2 (trifluoromethoxy)benzenesulfonamide
REACTANT,REACTANT,5-cyano-1-methyl-1H-pyrrol-2-ylboronic acid,5-cyano-1-methyl-1H-pyrrol-2-ylboronic acid
CATALYST,CATALYST,tris(dibenzylideneacetone)dipalladium,tris(dibenzylideneacetone)dipalladium
