reaction_id,COMPOUND__n_ref,COMPOUND__n_inf,COMPOUND__n_removal,COMPOUND__n_addition,COMPOUND__n_alteration_strict,COMPOUND__n_alteration_nonstrict,COMPOUND__n_intact_strict,COMPOUND__n_intact_nonstrict,PRODUCT_COMPOUND__n_ref,PRODUCT_COMPOUND__n_inf,PRODUCT_COMPOUND__n_removal,PRODUCT_COMPOUND__n_addition,PRODUCT_COMPOUND__n_alteration_strict,PRODUCT_COMPOUND__n_alteration_nonstrict,PRODUCT_COMPOUND__n_intact_strict,PRODUCT_COMPOUND__n_intact_nonstrict,REACTION_CONDITIONS__n_ref,REACTION_CONDITIONS__n_inf,REACTION_CONDITIONS__n_removal,REACTION_CONDITIONS__n_addition,REACTION_CONDITIONS__n_alteration_strict,REACTION_CONDITIONS__n_alteration_nonstrict,REACTION_CONDITIONS__n_intact_strict,REACTION_CONDITIONS__n_intact_nonstrict,REACTION_WORKUP__n_ref,REACTION_WORKUP__n_inf,REACTION_WORKUP__n_removal,REACTION_WORKUP__n_addition,REACTION_WORKUP__n_alteration_strict,REACTION_WORKUP__n_alteration_nonstrict,REACTION_WORKUP__n_intact_strict,REACTION_WORKUP__n_intact_nonstrict
ord-898910c293b0452dbc48cd62d6721045,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,8,0,0,1,1,7,7
ord-455d907b1d194378b85b51a7787f5a4a,5,5,0,0,2,1,3,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,10,12,0,2,3,3,7,7
ord-1f43f796680147a3869d7928c02529ac,4,5,0,1,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,1,1,8,8
ord-b92d9026764d4d1fb0183695bfbe077d,8,5,3,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,11,0,2,0,0,9,9
ord-7b3a74d2f5bb47b8870fc9eb4d006b5f,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-a95f5a9f67254de7a5e6bb319febeb89,6,6,0,0,0,0,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-84592efdd1224555a0e2c7df76c294d0,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-cfa8b9df50894377a2779d5199dbe6c5,8,6,2,0,0,0,6,6,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,4,6,0,2,0,0,4,4
ord-f22d06d5a2ed445c98cecb68b2a8e0d8,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-41c0bf7afd914f52aa3ad0040a3ebb35,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-f5aef21c6ad0453b8b677678e62a2ed6,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-5dbf4e197e5b498380f25bfb971b341a,3,4,0,1,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,4,0,0,1,1,3,3
ord-777d3230441f4c32a789ac96f411e454,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,5,5,0,0,1,1,4,4
ord-2e542e1202a349398ecf85aebc979c50,3,4,0,1,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
ord-477e417c070f4f81be9c8e60a10f9083,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,5,3,2,0,0,0,3,3
ord-71ac59d3527e486c810f7ddf29d012d0,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,8,7,1,0,1,1,6,6
ord-3f493d65301a40978e289db68f50472e,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-62d90061ceab46dcad2f5fb6eb9ac3a2,6,6,0,0,2,1,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-0bd7c8a44bae46cbb1d40663e8710c2c,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-9c40e516fd304c80b620e78075a047cf,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-a6dbf040adb24727875bae4388f7595b,3,2,1,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
ord-3a6e9080fde84c64b3cbd01bcb8b651d,5,7,0,2,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,4,2,2,0,1,1,1,1
ord-b6cbab7848254a1999677e2bd4498c36,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-05240dce866d4786a7afb779990a33ef,8,7,1,0,1,0,6,7,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-94264ce754a544d39b93bcfe4a7de769,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-e1f9ad911bb344428b2f03d5b464b4b0,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-5e1308a987db47838bb937ef0e79640b,6,7,0,1,2,1,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,12,10,2,0,2,2,8,8
ord-7de14aa621314eeca424394a69766dcb,7,8,0,1,1,0,6,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
ord-54abbbaa1f644201a06019b7dbdd123a,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
ord-d05314ac5eb644639a00b6003ed67ad8,7,6,1,0,1,1,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-ff51f9e514884456aa23126f19fd4b74,6,7,0,1,2,0,4,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,8,0,1,1,1,6,6
ord-e57929bd41c241bb967bcdff70a34dfd,3,3,0,0,2,1,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,4,0,1,0,0,3,3
ord-92a582b56b5c4d19a3fb8f9087512fa3,7,5,2,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,4,0,1,0,0,3,3
ord-5ccebfc77e6641aea9ff11c8b30c9550,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,9,8,1,0,0,0,8,8
ord-2ea9e0d1aa96484d82b7549790ef2663,9,8,1,0,1,1,7,7,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,10,12,0,2,0,0,10,10
ord-be99d0cd59cb413c8d2f4a1f665f4aba,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-7666177effb844e4b4cf9e1ff35fb083,5,4,1,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-71c7326f5efa450684d1d7fd7a277511,5,5,0,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-00c6fba4a1004e69b3b84a3a4da22489,11,9,2,0,4,1,5,8,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,2,2,2,2
ord-d998b382f77b4e5fb204f88317e49027,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-e803bd29ad03488d9c7084cea1930d69,4,4,0,0,2,2,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-acb761de53d34c1a8c37c5187e80ce37,5,5,0,0,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,2,1,0,2,2,0,0
ord-e423fc196af7458b83ca05fe6d3ebaca,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-ba219a2abac0453aaa637d8ed74a58d1,6,5,1,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-1a1917c0f4094bea937868d008e9c5ee,8,9,0,1,2,0,6,8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-65a05bfa22984a2caa4c5a8462a966c6,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-1bfbb0029a7d449c8ded359a1a09d9d5,6,4,2,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,10,0,1,0,0,9,9
ord-36d6a0a3283b4c0cb8f1f21643e43c32,6,6,0,0,0,0,6,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,6,1,0,1,1,5,5
ord-286940d6c433467f9268cdc443fc3240,3,2,1,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-9f30154c8886494591151fcea3169095,6,5,1,0,0,0,5,5,2,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-c01548b052cb476bb7336025740cb417,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-677fd29b013a4a68a1840414cfb864b0,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,1,1,4,4
ord-ae7cd5f24a2e49fe9522c40e1bcfdf3e,8,6,2,0,1,1,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,7,8,0,1,2,2,5,5
ord-b354d6fe8f5847e5938ace62ebb51d20,4,3,1,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-138df27957e047978e8ad49281606d8d,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-32d25187dbfe43828ffb9ff146afe304,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-eda53098eefb45378101a9005ba2721f,5,5,0,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,5,1,0,1,1,4,4
ord-593adeb78ad54af0a1dc7e4266a066bd,6,5,1,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-1217ec41155447f3869d7b2f4b5639da,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,10,9,1,0,0,0,9,9
ord-910b8dd313774e0d9d48dc82e6642ad3,5,5,0,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,5,5,0,0,0,0,5,5
ord-9ba307b8eb8e47e596dc5cf3e5ed3557,6,6,0,0,0,0,6,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-e89d4339a15a437ab35f2acfd380d813,5,6,0,1,3,1,2,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,10,8,2,0,1,1,7,7
ord-4f5edc7e5cdc411eb47eb677288e75c1,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-2a95feb581f546949373682f4aef46a6,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-57fc91a400584a6783c4e2e110745f15,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,11,11,0,0,1,1,10,10
ord-8add7a928f8b433aac3e044c4a6d088d,2,2,0,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-44f4df44140347e3b72c6f9f00ec6a0c,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-4a10ff10e5cd44669b1735381efe7260,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-9dcefb85dc45445f8374d3ea087ce1d7,3,2,1,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-98916e27cbfa4c20a6ea632a23fbd75e,8,7,1,0,3,0,4,7,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-686c274e7c9b409d90f64cfef2944c26,2,11,0,9,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-cb371d91616a450da075b5e925b9fca2,3,3,0,0,3,3,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,7,11,0,4,5,5,2,2
ord-d80d966c5fce46ddbe4ac6a38954db35,8,8,0,0,0,0,8,8,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-5a3c0b5454fc461a8863972f3bb9eef6,4,3,1,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
ord-bd0e67420dc74495b47a5f125a4fc68f,4,5,0,1,1,0,3,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-1e2e31eb8d604811ba56c941bc0a0178,7,6,1,0,1,0,5,6,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,4,5,0,1,0,0,4,4
ord-b917a88f2a4d41009e8d1afbd8676d81,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-f62329502af442e9a42160b2ecf5e261,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,8,0,0,1,1,7,7
ord-992ee380e681426fbd1380d14701bd8d,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-40e459722b3f46a58a7289e462066044,6,5,1,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,2,1,0,0,0,2,2
ord-798a34466854460c85da1132c6762a24,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-0551d63fbc9343f7a5045b6f7a0c18ed,7,5,2,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,10,0,1,1,1,8,8
ord-b792a0d55301468ea92df5d605c109a2,6,6,0,0,1,1,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,1,1,6,6
ord-ab311f9414554f27866bb976d6f51031,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-ee41eb746dcb49abbcf50a8a993ecad2,3,4,0,1,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,6,1,0,1,1,5,5
ord-ca567bb379f2424f9f73ca911c3b34c6,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,1,1,6,6
ord-55f70253dee94a0a979e4ad18792b519,5,5,0,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,12,11,1,0,0,0,11,11
ord-1c33b6d5f307487697475df2bcd20020,6,6,0,0,1,0,5,6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-742de45adb86474ab21a2f02f9bda3fd,4,3,1,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
ord-de3f8c7c17ef412d914aba7bcb0867df,6,6,0,0,2,0,4,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,10,0,1,1,1,8,8
ord-c262ef7203474863a7969a5f6877620a,7,7,0,0,0,0,7,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-f5e3023ad75b4e78b678f75be19a2ed3,7,7,0,0,0,0,7,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-4d4eae706245481f9c8e2e336748569b,5,5,0,0,2,0,3,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,9,0,1,1,1,7,7
ord-db25fe33a69f4a41a8228bf6d9ebd57c,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-cd67fa8b66294287b5b57e87a2dce8c8,5,5,0,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-0b5cb1fb0a3d4eb0b2f3b4ab2c156e31,6,6,0,0,0,0,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-3073f91f13654132910e07b6f1ce6d29,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-d9fdfddf41c74c47ab758605f008997b,5,5,0,0,2,0,3,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-55ecf7cf07e4465285851bfc40d4753b,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,14,14,0,0,0,0,14,14
ord-bdf601ef3b2d4364bec9cbb08aa6fb12,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,5,5,0,0,2,2,3,3
ord-8de9ddf91c084b3f8bf1b1072c963ec6,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-e848b7d491d046428efb2c46b23ffb9a,4,5,0,1,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-63ce7425d0de4ff99768647be804a6c5,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-c6178442aef34b79bdbb9d07b5af957a,4,3,1,0,2,1,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-b9e0444d6f3c48bda73ea38545f0ac8c,3,3,0,0,1,0,2,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2
ord-5e18af7030d5440a9a7ab9a86b333b8a,3,3,0,0,1,0,2,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-a19946036cdf4a1dbed69b61204719b5,3,3,0,0,1,0,2,3,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-78413f2dcc634a48a9be8c52de2fb8a5,7,6,1,0,1,0,5,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,1,1,5,5
ord-15ea4bcac9384411bb9a9dade0ebb434,3,2,1,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-040716b265824e1a9303800813062936,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-e9692c688b4848819f9c9c75684ced23,3,3,0,0,1,1,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-f6854dfbc1114711b06d05c579b36fcc,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-5107dee713c74a0ab05a2f93dff32941,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-08b9c3626e8a4a34bd708677abd2be03,5,5,0,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,1,1,6,6
ord-b944258f7ad44effae28a15ba450e98e,6,5,1,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,9,0,1,0,0,8,8
ord-f190c942b93b4a919869be0dbe9b9eee,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-0f9dfbb0a577479ca0028c200721b233,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-821a48a661be4e60b2f29ae784fba784,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-1220819f815443078462846f3f57aa81,8,8,0,0,1,1,7,7,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
ord-482f7b9e71ba4e06b724711c93a57b74,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-a78a6b9c036c450081838de070be0250,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,8,7,1,0,1,1,6,6
ord-f0997b44e2f44126aa2bafd86d26191e,5,5,0,0,2,0,3,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,1,1,4,4
ord-e67a53f1991b4a3db0e11f27d9dcb6ee,6,6,0,0,0,0,6,6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,5,1,0,0,0,5,5
